system,code,display,tier
http://snomed.info/sct,1149103000,Citrullinemia type I,1
http://snomed.info/sct,124711003,Deficiency of argininosuccinate synthase,1
http://www.orpha.net/ontology/orphanet.owl,247525,Citrullinemia type I,1
http://www.orpha.net/ontology/orphanet.owl,247546,Acute neonatal citrullinemia type I,1
http://www.orpha.net/ontology/orphanet.owl,247573,Late-onset citrullinemia type I,1
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl,C150601,Citrullinemia Type I,1
http://snomed.info/sct,398680004,Citrullinemia,2
http://hl7.org/fhir/sid/icd-10-cm,E72.23,Citrullinemia,2
http://hl7.org/fhir/sid/icd-9-cm,270.6,Disorders of urea cycle metabolism,2
http://www.orpha.net/ontology/orphanet.owl,187,Citrullinemia,2
http://snomed.info/sct,36444000,Disorder of the urea cycle metabolism,2
http://hl7.org/fhir/sid/icd-10-cm,E72.2,Disorders of urea cycle metabolism,2
http://human-phenotype-ontology.org,HP:0011966,Elevated plasma citrulline,2
http://human-phenotype-ontology.org,HP:0011965,Abnormal circulating citrulline concentration,2
http://hl7.org/fhir/sid/icd-10-cm,E72.20,"Disorder of urea cycle metabolism, unspecified",3
http://hl7.org/fhir/sid/icd-10-cm,E72.29,Other disorders of urea cycle metabolism,3
http://human-phenotype-ontology.org,HP:0001987,Hyperammonemia,3
http://snomed.info/sct,9360008,Hyperammonemia,3
