system,code,display,tier
http://snomed.info/sct,238001003,Carnitine palmitoyltransferase I deficiency,1
http://www.orpha.net/ontology/orphanet.owl,156,Carnitine palmitoyl transferase 1A deficiency,1
http://purl.obolibrary.org/obo/MONDO_,0009705,Carnitine palmitoyltransferase 1A deficiency,1
http://hl7.org/fhir/sid/icd-10-cm,E71.318,Other disorders of fatty-acid oxidation,2
http://hl7.org/fhir/sid/icd-9-cm,277.85,Disorders of fatty acid oxidation,2
http://hl7.org/fhir/sid/icd-10-cm,E71.31,Disorders of fatty-acid oxidation,2
http://human-phenotype-ontology.org,HP:0001985,Hypoketotic hypoglycemia,2
http://human-phenotype-ontology.org,HP:0000952,Jaundice,3
http://human-phenotype-ontology.org,HP:0002240,Hepatomegaly,3
http://human-phenotype-ontology.org,HP:0001298,Encephalopathy,3
http://human-phenotype-ontology.org,HP:0001250,Seizure,3
http://human-phenotype-ontology.org,HP:0001943,Hypoglycemia,3
http://human-phenotype-ontology.org,HP:0001987,Hyperammonemia,3
http://snomed.info/sct,302870006,Fatty acid oxidation disorder,3
http://hl7.org/fhir/sid/icd-10-cm,E71.3,"Disorder of fatty-acid metabolism, unspecified",3
http://hl7.org/fhir/sid/icd-10-cm,E71.30,"Disorder of fatty-acid metabolism, unspecified",3
http://hl7.org/fhir/sid/icd-10-cm,E71.3,Disorders of fatty-acid metabolism,3
http://hl7.org/fhir/sid/icd-10-cm,E71.39,Other disorders of fatty-acid metabolism,3
