system,code,display,tier
http://hl7.org/fhir/sid/icd-10-cm,E70,Disorders of aromatic amino-acid metabolism,2
http://hl7.org/fhir/sid/icd-10-cm,E70.0,Classical phenylketonuria,1
http://hl7.org/fhir/sid/icd-10-cm,E70.1,Other hyperphenylalaninemias,2
http://hl7.org/fhir/sid/icd-10-cm,E70.2,Disorders of tyrosine metabolism,2
http://hl7.org/fhir/sid/icd-10-cm,E70.20,"Disorder of tyrosine metabolism, unspecified",3
http://hl7.org/fhir/sid/icd-10-cm,E70.21,Tyrosinemia,2
http://hl7.org/fhir/sid/icd-10-cm,E70.29,Other disorders of tyrosine metabolism,3
http://hl7.org/fhir/sid/icd-10-cm,E70.3,Albinism,3
http://hl7.org/fhir/sid/icd-10-cm,E70.30,"Albinism, unspecified",3
http://hl7.org/fhir/sid/icd-10-cm,E70.31,Ocular albinism,3
http://hl7.org/fhir/sid/icd-10-cm,E70.310,X-linked ocular albinism,3
http://hl7.org/fhir/sid/icd-10-cm,E70.311,Autosomal recessive ocular albinism,3
http://hl7.org/fhir/sid/icd-10-cm,E70.318,Other ocular albinism,3
http://hl7.org/fhir/sid/icd-10-cm,E70.319,"Ocular albinism, unspecified",3
http://hl7.org/fhir/sid/icd-10-cm,E70.32,Oculocutaneous albinism,3
http://hl7.org/fhir/sid/icd-10-cm,E70.330,Chediak-Higashi syndrome,3
http://hl7.org/fhir/sid/icd-10-cm,E70.331,Griscelli syndrome,3
http://hl7.org/fhir/sid/icd-10-cm,E70.338,Other disorders of diminished melanin formation,3
http://hl7.org/fhir/sid/icd-10-cm,E70.339,"Disorder of diminished melanin formation, unspecified",3
http://hl7.org/fhir/sid/icd-10-cm,E70.39,Other albinism,3
http://hl7.org/fhir/sid/icd-10-cm,E70.4,Disorders of histidine metabolism,2
http://hl7.org/fhir/sid/icd-10-cm,E70.5,Disorders of tryptophan metabolism,2
http://hl7.org/fhir/sid/icd-10-cm,E70.8,Other disorders of aromatic amino-acid metabolism,2
